file_name,text
data_urti/poetry/poetry004-1.png,۱۲
data_urti/poetry/poetry004-10.png,ملے خاک میں پر رعونت وہی ہے
data_urti/poetry/poetry004-11.png,ہوئی صبح اور خواب راحت وہی ہے
data_urti/poetry/poetry004-12.png,نہ افسوس انہیں اپنی ذلت پہ ہے کچھ
data_urti/poetry/poetry004-13.png,نہ رشک اور قوموں کی عزت پہ ہے کچھ
data_urti/poetry/poetry004-14.png,بہائم کی اور ان کی حالت ہے یکساں
data_urti/poetry/poetry004-15.png,کہ جس حال میں ہیں اسی میں ہیں شاداں
data_urti/poetry/poetry004-16.png,نہ ذلت سے نفرت نہ عزت کا ارماں
data_urti/poetry/poetry004-17.png,نہ دوزخ سے ترساں نہ جنت کے خواہاں
data_urti/poetry/poetry004-18.png,لیا عقل و دیں سے نہ کچھ کام انہوں نے
data_urti/poetry/poetry004-19.png,کیا دیں بر حق کو بد نام انہوں نے
data_urti/poetry/poetry004-2.png,گٹھا سر پہ ادبار کی گھا رہی ہے
data_urti/poetry/poetry004-20.png,وہ دین جس نے اعدا کو اخواں بنایا
data_urti/poetry/poetry004-21.png,وحوش اور بہائم کو انساں بنایا
data_urti/poetry/poetry004-22.png,درندوں کو غم خوار دوراں بنایا
data_urti/poetry/poetry004-23.png,گڈریوں کو عالم کا سلطاں بنایا
data_urti/poetry/poetry004-24.png,وہ خطہ جو تھا ایک ڈھوروں کا گلہ
data_urti/poetry/poetry004-25.png,گراں کر دیا اس کا عالم سے پلہ
data_urti/poetry/poetry004-26.png,عرب جس کا چرچہ ہے یہ کچھ وہ کیا تھا
data_urti/poetry/poetry004-27.png,جہاں سے الگ اک جزیرہ نما تھا
data_urti/poetry/poetry004-28.png,زمانے سے پیوند جس کا جدا تھا
data_urti/poetry/poetry004-29.png,نہ کشورستاں تھا نہ کشور کشا تھا
data_urti/poetry/poetry004-3.png,فلاکت سماں اپنا دکھلا رہی ہے
data_urti/poetry/poetry004-30.png,تمدن کا اس پر پڑا تھا نہ سایا
data_urti/poetry/poetry004-31.png,ترقی کا تھا واںقدم تک نہ ٓایا
data_urti/poetry/poetry004-32.png,۱۳
data_urti/poetry/poetry004-33.png,نہ ٓاب و ہوا ایسی  تھی روح پرور
data_urti/poetry/poetry004-34.png,کہ قابل ہی پیدا ہوں خود جس سے جوہر
data_urti/poetry/poetry004-35.png,نہ کچھ ایسے سامان تھے واں میسر
data_urti/poetry/poetry004-36.png,کنول جس سے کھل جائیںدل کے سراسر
data_urti/poetry/poetry004-37.png,نہ سبزہ تھا صحرا میں پیدا نہ پانی
data_urti/poetry/poetry004-38.png,فقط ٓاب باراں پہ تھی زندگانی
data_urti/poetry/poetry004-39.png,زمیں سنگلاخ اور ہوا ٓاتش افشاں
data_urti/poetry/poetry004-4.png,نحوست پس و پیش منڈلا رہی ہے
data_urti/poetry/poetry004-40.png,لوءوں کی لپٹ ،باد  صر صر کے طوفاں
data_urti/poetry/poetry004-41.png,پہاڑ اور ٹیلے سراب اور بیاباں
data_urti/poetry/poetry004-42.png,کھجوروں کے جھنڈ اور خار مغیلاں
data_urti/poetry/poetry004-43.png,نہ کھیتوں میں غلہ، نہ جنگل میں کھیتی
data_urti/poetry/poetry004-44.png,عرب اور کل کاءنات اس کی یہ تھی
data_urti/poetry/poetry004-45.png,نہ واں مصر کی روشنی جلوہ گر تھی
data_urti/poetry/poetry004-46.png,نہ یونان کے علم و فن کی خبر تھی
data_urti/poetry/poetry004-47.png,وہی اپنی فطرت پہ طبع بشر تھی
data_urti/poetry/poetry004-48.png,خدا کی زمیں بن جتی سر بسر تھی
data_urti/poetry/poetry004-49.png,پہاڑ اور صحرا میں ڈیرا تھا سب کا
data_urti/poetry/poetry004-5.png,چپ و راست سے یہ صدا ٓا رہی ہے
data_urti/poetry/poetry004-50.png,تلے ٓاسماں کے بسیرا تھا سب کا
data_urti/poetry/poetry004-51.png,کہیں ٓاگ پجتی تھی واں بے محابا
data_urti/poetry/poetry004-52.png,کہیں تھا کواکب پرستی کا چرچا
data_urti/poetry/poetry004-53.png,بہت سے تھے تثلیت پر دلسے شیدا
data_urti/poetry/poetry004-54.png,بتوں کا عمل سو بسو جا بجا تھا
data_urti/poetry/poetry004-55.png,کرشموں کا راہب کے تھا صید کوءی
data_urti/poetry/poetry004-56.png,طلسموں میں کاہن کے تھا قید کوءی
data_urti/poetry/poetry004-57.png,وہ دنیا میں گھر سب سے پہلا خدا کا
data_urti/poetry/poetry004-58.png,خلیل ایک معمار تھا جس بنا کا
data_urti/poetry/poetry004-59.png,ازل میں مشیت نے تھا جس کو تاکا
data_urti/poetry/poetry004-6.png,کہ کل کون تھے ٓاج کیا ہو گئے تم
data_urti/poetry/poetry004-60.png,کہ اس گھر سے ابلے گا چشمہ ہدی کا
data_urti/poetry/poetry004-61.png,وہ تیرتھ تھا اک بت پرستوں کا گویا
data_urti/poetry/poetry004-62.png,جہاں نامِ حق کا نہ تھا کوئی جویا
data_urti/poetry/poetry004-7.png,ابھی جاگتے تھے ابھی سو گئے تم
data_urti/poetry/poetry004-8.png,پر اس قوم غافل کی غفلت وہی ہے
data_urti/poetry/poetry004-9.png,تنزل پہ اپنی قناعت وہی ہے
data_urti/poetry/poetry006-1.png,۱۶
data_urti/poetry/poetry006-10.png,عرب جس پر قرنوں سے تھا جہل چھایا
data_urti/poetry/poetry006-11.png,پلٹ دی بس اک ٓان میں اس کی کایا
data_urti/poetry/poetry006-12.png,رہا ڈر نہ بیڑے کو موج بلا کا
data_urti/poetry/poetry006-13.png,ادھر سے ادھر پھر گیا  رخ ہوا کا
data_urti/poetry/poetry006-14.png,پڑی کان میں  دھات تھی اک نکمی
data_urti/poetry/poetry006-15.png,نہ کچھ قدر تھی اور نہ قیمت تھی جس کی
data_urti/poetry/poetry006-16.png,طبیعت میں جو اس کے جوہر تھے اصلی
data_urti/poetry/poetry006-17.png,ہوئے سب تھے مٹی میں مل کر وہ مٹی
data_urti/poetry/poetry006-18.png,پہ تھا ثبت علم قضاد قدر میں
data_urti/poetry/poetry006-19.png,کہ بن جائے گی وہ طلا اک نظر میں
data_urti/poetry/poetry006-2.png,خطاکار سے درگزر کرنے والا
data_urti/poetry/poetry006-20.png,وہ فخر عرب زیب محراب و منبر
data_urti/poetry/poetry006-21.png,تمام اہل مکہ کو ہمراہ لے کر
data_urti/poetry/poetry006-22.png,گیا اک دن حسب فرمان داور
data_urti/poetry/poetry006-23.png,سوئے دشت اور چڑھ کے صفا پر
data_urti/poetry/poetry006-24.png,یہ فرمایا سب سے کہ اے ٓال غالب
data_urti/poetry/poetry006-25.png,سمجھتے ہو تم مجھ کو صادق یا کاذب؟
